FirstName,LastName,Position,Number,HeightInches,Weight,Class,Team,Season,Hometown,PreviousSchool,Role,DraftRound,DraftPick,Awards,AwardContender,GamesPlayed,GamesStarted,Completions,Attempts,PassYards,PassTD,PassInt,RushAttempts,RushYards,RushTD,Receptions,RecYards,RecTD,Tackles,TacklesForLoss,Sacks,Interceptions,PassesDefended,ForcedFumbles,FieldGoalsMade,FieldGoalsAttempted,PuntAverage,Notes
Jordan,Travis,QB,13,73,212,Redshirt Senior,Florida State,2023,"West Palm Beach, FL",Louisville,Starter,5,171,conference player of the year; conference offensive player of the year; first-team all-conference,heisman,11,11,206,303,2790,21,5,,343,4,,,,,,,,,,,,,Starter; season-ending injury vs North Alabama (Nov 18)
Tate,Rodemaker,QB,18,76,195,Redshirt Junior,Florida State,2023,"Valdosta, GA",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary backup; started ACC Championship prep, injured; verify height"
Brock,Glenn,QB,11,74,200,Freshman,Florida State,2023,"Memphis, TN",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Started ACC Championship Game and Orange Bowl
Trey,Benson,RB,3,73,216,Redshirt Junior,Florida State,2023,"Greenville, MS",Oregon,Starter,3,66,second-team all-conference,,13,12,,,,,,158,906,10,,,,,,,,,,,,,Starting running back
Lawrance,Toafili,RB,9,71,191,Redshirt Junior,Florida State,2023,"Pinellas Park, FL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary change-of-pace back
Rodney,Hill,RB,21,70,185,Redshirt Freshman,Florida State,2023,"Statesboro, GA",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,verify jersey
Caziah,Holmes,RB,24,71,205,Redshirt Junior,Florida State,2023,"Cocoa, FL",Penn State,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,verify jersey
Samuel,Singleton,RB,28,71,185,Freshman,Florida State,2023,"Jacksonville, FL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed from 2023 newcomer release
Keon,Coleman,WR,4,76,215,Junior,Florida State,2023,"Opelousas, LA",Michigan State,Starter,2,33,first-team all-conference,,12,12,,,,,,,,,50,658,11,,,,,,,,,,Jersey confirmed from 2023 newcomer release
Johnny,Wilson,WR,14,79,235,Redshirt Junior,Florida State,2023,"Pacoima, CA",Arizona State,Starter,6,185,,,12,,,,,,,,,,,,,,,,,,,,,,
Ja'Khi,Douglas,WR,0,71,192,Redshirt Junior,Florida State,2023,"Houma, LA",,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,verify jersey (0)
Destyn,Hill,WR,7,72,195,Freshman,Florida State,2023,"New Orleans, LA",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed from 2023 newcomer release; 2021 signee who enrolled in 2023
Hykeem,Williams,WR,8,75,210,Freshman,Florida State,2023,"Fort Lauderdale, FL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deuce,Spann,WR,12,76,200,Redshirt Junior,Florida State,2023,"St. Petersburg, FL",Illinois,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,verify jersey
Kentron,Poitier,WR,,75,205,Redshirt Senior,Florida State,2023,"Miami, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Vandrevius,Jacobs,WR,16,72,175,Freshman,Florida State,2023,"Vero Beach, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,verify jersey
Joshua,Burrell,WR,,74,205,Redshirt Freshman,Florida State,2023,"Columbia, SC",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Darion,Williamson,WR,,75,200,Redshirt Sophomore,Florida State,2023,"Tampa, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; reserve
Jaheim,Bell,TE,6,75,250,Redshirt Junior,Florida State,2023,"Lake City, FL",South Carolina,Starter,7,231,,,13,9,,,,,,,,,39,503,2,,,,,,,,,,Jersey confirmed (No. 6)
Kyle,Morlock,TE,84,78,245,Redshirt Senior,Florida State,2023,"Douglasville, GA",Shorter,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed (No. 84)
Markeston,Douglas,TE,,76,260,Redshirt Junior,Florida State,2023,"Phenix City, AL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Brian,Courtney,TE,,74,235,Redshirt Sophomore,Florida State,2023,"Ashburn, VA",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; H-back/TE reserve
Preston,Daniel,TE,,75,240,Redshirt Sophomore,Florida State,2023,"Tallahassee, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; reserve
Jerrale,Powers,TE,,76,230,Freshman,Florida State,2023,"Duncanville, TX",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; 2023 signee
Robert,Scott,OT,74,77,320,Redshirt Junior,Florida State,2023,"Winnsboro, LA",,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Starting left tackle; verify jersey
Jeremiah,Byers,OT,63,77,315,Redshirt Senior,Florida State,2023,"El Paso, TX",UTEP,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Starting right tackle; jersey confirmed (No. 63)
Casey,Roddick,OG,70,77,320,Redshirt Senior,Florida State,2023,"Oxnard, CA",Colorado,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Starting left guard; jersey confirmed (No. 70)
D'Mitri,Emmanuel,OG,71,75,305,Redshirt Senior,Florida State,2023,"Charlotte, NC",Charlotte,Starter,,,first-team all-conference,,,,,,,,,,,,,,,,,,,,,,,,Starting right guard; jersey confirmed (No. 71)
Maurice,Smith,C,54,75,300,Redshirt Senior,Florida State,2023,"Miami, FL",,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Starting center; verify jersey
Darius,Washington,OL,76,75,300,Redshirt Junior,Florida State,2023,"Pensacola, FL",,Starter,,,first-team all-conference,,,,,,,,,,,,,,,,,,,,,,,,Sixth man — tackle/center; verify jersey
Keiondre,Jones,OG,,76,325,Redshirt Senior,Florida State,2023,"LaGrange, GA",Auburn,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Bless,Harris,OT,75,77,310,Redshirt Senior,Florida State,2023,"Lake Charles, LA",LSU,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,verify jersey
Julian,Armella,OL,,78,315,Redshirt Freshman,Florida State,2023,"Miami, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Jaylen,Early,OL,,76,310,Redshirt Freshman,Florida State,2023,"Duncanville, TX",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Qae'shon,Sapp,OL,,76,320,Redshirt Freshman,Florida State,2023,"Leesburg, GA",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Lloyd,Willis,OT,,79,310,Freshman,Florida State,2023,"Miami, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; 2023 signee
